@RELATION feature_mfcc

@ATTRIBUTE 1	NUMERIC
@ATTRIBUTE 2	NUMERIC
@ATTRIBUTE 3	NUMERIC
@ATTRIBUTE 4	NUMERIC
@ATTRIBUTE 5	NUMERIC
@ATTRIBUTE 6	NUMERIC
@ATTRIBUTE 7	NUMERIC
@ATTRIBUTE 8	NUMERIC
@ATTRIBUTE 9	NUMERIC
@ATTRIBUTE 10	NUMERIC
@ATTRIBUTE 11	NUMERIC
@ATTRIBUTE 12	NUMERIC
@ATTRIBUTE 13	NUMERIC
@ATTRIBUTE 14	NUMERIC
@ATTRIBUTE 15	NUMERIC
@ATTRIBUTE 16	NUMERIC
@ATTRIBUTE 17	NUMERIC
@ATTRIBUTE 18	NUMERIC
@ATTRIBUTE 19	NUMERIC
@ATTRIBUTE 20	NUMERIC
@ATTRIBUTE 21	NUMERIC
@ATTRIBUTE 22	NUMERIC
@ATTRIBUTE 23	NUMERIC
@ATTRIBUTE 24	NUMERIC
@ATTRIBUTE 25	NUMERIC
@ATTRIBUTE 26	NUMERIC
@ATTRIBUTE 27	NUMERIC
@ATTRIBUTE 28	NUMERIC
@ATTRIBUTE 29	NUMERIC
@ATTRIBUTE 30	NUMERIC

@ATTRIBUTE class 		 {X1,X2} 
@DATA
7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,7.812500e-03,3.646278e-05,1.849537e-04,4.799592e-04,1.648835e-03,9.082654e-04,1.093275e-03,7.570737e-04,3.231064e-05,4.806323e-05,5.723539e-05,4.895315e-05,4.429639e-05,3.175372e-04,3.590662e-03,1.778335e-03,X1
4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,4.125413e-04,1.819619e-08,2.501274e-05,3.955571e-07,5.553594e-08,8.769501e-08,3.404732e-06,2.052561e-07,3.280568e-07,8.902839e-07,4.518431e-06,1.590474e-07,3.988876e-08,7.780358e-08,3.218588e-07,3.409701e-08,X1
6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,6.097561e-03,1.654482e-05,5.899995e-05,1.604495e-05,6.988014e-05,7.382572e-05,8.074957e-05,1.080645e-03,6.871351e-04,7.154517e-05,1.863774e-04,3.881932e-05,4.075105e-04,3.570246e-02,3.938393e-05,1.932050e-05,X1
4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,4.830918e-04,3.817897e-08,9.227788e-05,3.473234e-07,9.625596e-06,2.653033e-07,2.206676e-07,1.396421e-07,1.128041e-06,1.284810e-06,3.798864e-07,7.776473e-06,2.643607e-03,9.530908e-06,3.876019e-06,2.414998e-05,X1
4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,4.621072e-04,1.973152e-08,1.457096e-06,1.535511e-06,1.037127e-06,2.349229e-06,4.884163e-06,4.497155e-06,2.261457e-06,2.435055e-07,6.138625e-07,5.815914e-06,6.075020e-07,8.794386e-07,1.295905e-05,1.325381e-06,X1
7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,7.163324e-04,5.587775e-08,1.359905e-06,3.316184e-07,1.322157e-07,3.801808e-07,4.669287e-06,1.672908e-05,1.413597e-05,3.094942e-07,2.904838e-07,1.047052e-04,3.008241e-06,1.994282e-06,1.447260e-06,2.688117e-06,X1
4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,4.231909e-04,3.269769e-08,4.166352e-06,2.196981e-07,1.147994e-06,3.521157e-07,3.583907e-07,2.695821e-07,6.874324e-05,3.659465e-07,4.305192e-07,4.694107e-06,2.666454e-06,1.925552e-06,7.605757e-06,1.803879e-06,X1
6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,6.675567e-04,2.232154e-07,2.070476e-06,8.111602e-06,4.694733e-07,4.289114e-07,7.151963e-07,1.201821e-05,2.579429e-05,7.798087e-05,3.261069e-06,2.586686e-07,4.374144e-07,4.041309e-07,7.362937e-07,3.469719e-06,X1
4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,4.500450e-04,2.730293e-08,1.203721e-05,2.121478e-07,2.462474e-06,5.394286e-07,4.552601e-07,1.809641e-07,6.331253e-07,2.094867e-05,1.092720e-05,1.061013e-06,1.010299e-06,7.410849e-06,2.257921e-06,2.597061e-06,X1
6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,6.587615e-04,7.142762e-08,3.254432e-07,1.936383e-06,5.410966e-05,1.528781e-06,3.785985e-07,2.214373e-06,1.023737e-06,4.566578e-07,7.768936e-06,3.445138e-07,4.123111e-07,1.176264e-06,1.085026e-06,6.565048e-06,X1
